INOCTETS,OUTOCTETS,INERRORS
,,
1785848400:,-nan,-nan
1785850200:,-nan,-nan
1785852000:,-nan,-nan
1785853800:,-nan,-nan
1785855600:,-nan,-nan
1785857400:,-nan,-nan
1785859200:,-nan,-nan
1785861000:,-nan,-nan
1785862800:,-nan,-nan
1785864600:,-nan,-nan
1785866400:,-nan,-nan
1785868200:,-nan,-nan
1785870000:,-nan,-nan
1785871800:,-nan,-nan
1785873600:,-nan,-nan
1785875400:,-nan,-nan
1785877200:,-nan,-nan
1785879000:,-nan,-nan
1785880800:,-nan,-nan
1785882600:,-nan,-nan
1785884400:,-nan,-nan
1785886200:,-nan,-nan
1785888000:,-nan,-nan
1785889800:,-nan,-nan
1785891600:,-nan,-nan
1785893400:,-nan,-nan
1785895200:,-nan,-nan
1785897000:,-nan,-nan
1785898800:,-nan,-nan
1785900600:,-nan,-nan
1785902400:,-nan,-nan
1785904200:,-nan,-nan
1785906000:,-nan,-nan
1785907800:,-nan,-nan
1785909600:,-nan,-nan
1785911400:,-nan,-nan
1785913200:,-nan,-nan
1785915000:,-nan,-nan
1785916800:,-nan,-nan
1785918600:,-nan,-nan
1785920400:,-nan,-nan
1785922200:,-nan,-nan
1785924000:,-nan,-nan
1785925800:,-nan,-nan
1785927600:,-nan,-nan
1785929400:,-nan,-nan
1785931200:,-nan,-nan
1785933000:,-nan,-nan
1785934800:,-nan,-nan
1785936600:,-nan,-nan
1785938400:,-nan,-nan
1785940200:,-nan,-nan
1785942000:,-nan,-nan
1785943800:,-nan,-nan
1785945600:,-nan,-nan
1785947400:,-nan,-nan
1785949200:,-nan,-nan
1785951000:,-nan,-nan
1785952800:,-nan,-nan
1785954600:,-nan,-nan
1785956400:,-nan,-nan
1785958200:,-nan,-nan
1785960000:,-nan,-nan
1785961800:,-nan,-nan
1785963600:,-nan,-nan
1785965400:,-nan,-nan
1785967200:,-nan,-nan
1785969000:,-nan,-nan
1785970800:,-nan,-nan
1785972600:,-nan,-nan
1785974400:,-nan,-nan
1785976200:,-nan,-nan
1785978000:,-nan,-nan
1785979800:,-nan,-nan
1785981600:,-nan,-nan
1785983400:,-nan,-nan
1785985200:,-nan,-nan
1785987000:,-nan,-nan
1785988800:,-nan,-nan
1785990600:,-nan,-nan
1785992400:,-nan,-nan
1785994200:,-nan,-nan
1785996000:,-nan,-nan
1785997800:,-nan,-nan
1785999600:,-nan,-nan
1786001400:,-nan,-nan
1786003200:,-nan,-nan
1786005000:,-nan,-nan
1786006800:,-nan,-nan
1786008600:,-nan,-nan
1786010400:,-nan,-nan
1786012200:,-nan,-nan
1786014000:,-nan,-nan
1786015800:,-nan,-nan
1786017600:,-nan,-nan
1786019400:,-nan,-nan
1786021200:,-nan,-nan
1786023000:,-nan,-nan
1786024800:,-nan,-nan
1786026600:,-nan,-nan
1786028400:,-nan,-nan
1786030200:,-nan,-nan
1786032000:,-nan,-nan
1786033800:,-nan,-nan
1786035600:,-nan,-nan
1786037400:,-nan,-nan
1786039200:,-nan,-nan
1786041000:,-nan,-nan
1786042800:,-nan,-nan
1786044600:,-nan,-nan
1786046400:,-nan,-nan
1786048200:,-nan,-nan
1786050000:,-nan,-nan
1786051800:,-nan,-nan
1786053600:,-nan,-nan
1786055400:,-nan,-nan
1786057200:,-nan,-nan
1786059000:,-nan,-nan
1786060800:,-nan,-nan
1786062600:,-nan,-nan
1786064400:,-nan,-nan
1786066200:,-nan,-nan
1786068000:,-nan,-nan
1786069800:,-nan,-nan
1786071600:,-nan,-nan
1786073400:,-nan,-nan
1786075200:,-nan,-nan
1786077000:,-nan,-nan
1786078800:,-nan,-nan
1786080600:,-nan,-nan
1786082400:,-nan,-nan
1786084200:,-nan,-nan
1786086000:,-nan,-nan
1786087800:,-nan,-nan
1786089600:,-nan,-nan
1786091400:,-nan,-nan
1786093200:,-nan,-nan
1786095000:,-nan,-nan
1786096800:,-nan,-nan
1786098600:,-nan,-nan
1786100400:,-nan,-nan
1786102200:,-nan,-nan
1786104000:,-nan,-nan
1786105800:,-nan,-nan
1786107600:,-nan,-nan
1786109400:,-nan,-nan
