Device Name / IP,192.168.200.244
Port Name / ID,GigabitEthernet0/1
RRD Source File,/opt/librenms/rrd/192.168.200.244/port-id4505.rrd

Date & Time,In Traffic (Mbps),Out Traffic (Mbps),In Traffic (Bytes/sec),Out Traffic (Bytes/sec),In Errors,Out Errors
2026-08-20 10:30:00,1.6095,3.0653,201189.65,383162.76,0,0
2026-08-20 11:00:00,0.5258,2.4602,65721.12,307525.79,0,0
2026-08-20 11:30:00,0.4045,2.7546,50558.34,344326.21,0,0
2026-08-20 12:00:00,0.4264,3.759,53298.46,469880.86,0,0
2026-08-20 12:30:00,1.0401,3.281,130016.77,410125.37,0,0
2026-08-20 13:00:00,0.3019,1.8056,37741.87,225706.14,0,0
2026-08-20 13:30:00,0.4092,2.4631,51147.86,307882.75,0,0
2026-08-20 14:00:00,0.6424,21.2166,80297.69,2652077.32,0,0
2026-08-20 14:30:00,0.6816,2.1626,85196.5,270324.68,0,0
2026-08-20 15:00:00,0.5527,4.1733,69093.49,521666.89,0,0
2026-08-20 15:30:00,0.5316,4.2865,66453.0,535808.42,0,0
2026-08-20 16:00:00,0.4799,3.4473,59989.46,430907.05,0,0
2026-08-20 16:30:00,2.8159,3.4874,351985.4,435927.59,0,0
2026-08-20 17:00:00,2.1958,3.6748,274476.81,459354.8,0,0
2026-08-20 17:30:00,1.8157,4.7185,226959.24,589810.13,0,0
2026-08-20 18:00:00,0.4716,2.688,58948.04,336001.79,0,0
2026-08-20 18:30:00,0.4783,20.2886,59787.42,2536081.2,0,0
2026-08-21 11:00:00,0.3074,2.2252,38421.56,278149.91,0,0
2026-08-21 11:30:00,0.5997,3.4365,74966.02,429560.5,0,0
2026-08-21 12:00:00,1.0957,6.7451,136967.98,843135.56,0,0
2026-08-21 12:30:00,1.7672,4.0238,220904.2,502971.46,0,0
2026-08-21 14:30:00,0.4084,3.0783,51053.55,384782.12,0,0
2026-08-21 15:00:00,0.812,3.5084,101502.18,438554.38,0,0
2026-08-21 15:30:00,0.4717,1.6069,58964.36,200862.46,0,0
2026-08-21 16:00:00,0.5448,2.5834,68100.29,322922.37,0,0
2026-08-21 16:30:00,0.448,5.3707,55994.57,671338.72,0,0
2026-08-21 17:00:00,0.2496,2.0231,31205.42,252888.12,0,0
2026-08-21 17:30:00,0.202,1.3124,25250.39,164048.09,0,0
2026-08-21 18:00:00,0.2252,2.3806,28145.4,297577.7,0,0
2026-08-21 18:30:00,0.4387,0.6523,54838.85,81536.37,0,0
2026-08-24 14:00:00,0.203,1.5922,25375.7,199021.57,0,0
2026-08-24 14:30:00,0.2342,0.8817,29275.68,110213.18,0,0
2026-08-24 15:00:00,0.3459,1.6822,43233.89,210280.37,0,0
2026-08-24 15:30:00,0.433,1.0836,54119.11,135448.56,0,0
2026-08-24 16:00:00,0.3662,1.771,45779.92,221377.53,0,0
2026-08-24 16:30:00,0.2354,0.7352,29426.76,91896.76,0,0
2026-08-24 17:00:00,0.2495,1.3806,31188.43,172569.82,0,0
2026-08-24 17:30:00,0.2155,0.9265,26939.29,115818.3,0,0
2026-08-25 11:00:00,0.6127,2.4572,76592.25,307147.59,0,0
2026-08-25 11:30:00,0.4615,4.3996,57691.04,549950.21,0,0
2026-08-25 12:00:00,0.393,3.6549,49127.2,456867.55,0,0
2026-08-25 12:30:00,0.5537,2.1975,69207.46,274685.14,0,0
2026-08-25 13:00:00,0.5066,2.3317,63330.57,291457.12,0,0
2026-08-25 13:30:00,0.4284,2.4094,53546.87,301178.02,0,0
2026-08-25 14:00:00,0.2243,1.6183,28037.41,202285.5,0,0
2026-08-25 14:30:00,0.6109,9.2619,76365.22,1157733.45,0,0
2026-08-25 15:00:00,0.8044,3.7745,100551.58,471818.42,0,0
2026-08-25 15:30:00,0.7631,2.5711,95393.5,321390.42,0,0
2026-08-25 16:00:00,0.7696,2.6428,96194.33,330349.21,0,0
2026-08-25 16:30:00,0.3709,1.3305,46367.79,166314.34,0,0
2026-09-02 10:30:00,0.3697,2.6118,46213.8,326473.19,0,0
2026-09-02 11:00:00,0.2217,1.3468,27710.29,168347.61,0,0
2026-09-02 11:30:00,0.6181,2.5313,77265.06,316409.48,0,0
2026-09-02 12:00:00,0.4257,4.3533,53207.88,544162.92,0,0
2026-09-02 12:30:00,0.2073,2.0202,25909.87,252524.36,0,0
2026-09-02 13:00:00,0.2021,0.7517,25266.81,93960.92,0,0
2026-09-02 13:30:00,0.2818,3.5216,35224.2,440199.97,0,0
2026-09-02 14:00:00,0.1694,1.9645,21177.02,245558.27,0,0
2026-09-02 14:30:00,0.1841,1.4405,23012.99,180057.83,0,0
2026-09-02 15:00:00,0.2211,1.5847,27633.48,198093.51,0,0
2026-09-02 15:30:00,0.2679,0.6919,33481.97,86490.94,0,0
2026-09-02 16:00:00,0.2345,0.5654,29310.76,70670.27,0,0
2026-09-02 16:30:00,0.2607,0.6153,32588.57,76910.01,0,0
2026-09-02 17:00:00,1.5298,3.3919,191219.27,423987.86,0,0
2026-09-02 17:30:00,3.6805,6.1067,460061.32,763335.62,0,0
2026-09-02 18:00:00,3.4311,6.0907,428884.02,761339.85,0,0
2026-09-03 13:00:00,1.2843,1.2933,160542.7,161663.83,0,0
2026-09-03 13:30:00,0.3342,2.3489,41772.65,293613.59,0,0
2026-09-03 14:00:00,0.2457,2.6896,30711.45,336205.31,0,0
2026-09-03 14:30:00,0.3273,3.0397,40911.17,379957.57,0,0
2026-09-03 15:00:00,0.3608,1.376,45097.59,172003.74,0,0
2026-09-03 15:30:00,0.4815,17.612,60191.15,2201499.55,0,0
2026-09-03 16:00:00,0.3978,4.7675,49724.15,595940.28,0,0
2026-09-03 16:30:00,0.4734,8.847,59171.79,1105875.55,0,0
2026-09-03 17:00:00,0.4315,4.4515,53943.46,556433.53,0,0
2026-09-03 17:30:00,0.2575,0.978,32188.5,122245.9,0,0
2026-09-03 18:00:00,0.4035,0.9321,50443.69,116508.66,0,0
